1: [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 22, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]
2: [None, None, 19, 27, 33, 27, 32, 33, 36, 31, 30, None, 31, None, 31, 31, 35, 27, 21, 35, 37, 17, 27, None, None, 29, 21, 28, None, None, 31, 27, 28, None, None, 27, 35, 31, 31, 31, 33, 33, 29, 6, 31, 30, 35, 27, 36, 28, 34, 21, 38, 38, 37, None, 38, 8, 36, 38, 35, 37, 39, 35, None, 36, 36, 36, 36, 36, 36, 35, 33, 34, 37, 34, None, 32, 32, 34, 33, 34, 35, 33, None, 33, None, 33, 25, 30, 31, 30, 32]
3: [None, 19, None, 32, 39, 37, 38, 33, 33, 36, 38, 37, 37, None, 36, 37, 20, 32, 23, 36, 34, 8, 32, None, None, 22, 8, 34, 35, None, 36, 32, 34, None, None, 32, 28, 37, 34, 36, 22, 38, 36, 23, 36, 35, 37, 37, 34, 32, 35, 8, 32, 31, 35, None, 32, 21, 33, 31, 29, 30, 32, 27, None, 30, 30, 30, 30, 24, 29, 29, 23, 27, 31, 28, None, 37, 37, 28, 26, 28, 29, 38, None, 39, None, 39, 37, 38, 37, 37, 38]
4: [None, 27, 32, None, 38, 27, 34, 28, 21, 36, 37, 37, 34, None, 36, 34, 18, 10, 33, 32, 31, 34, 35, 37, None, 16, 30, 32, 39, None, 36, 29, 32, 39, 39, 34, 13, 36, 30, 36, 12, 34, 25, 31, 6, 35, 31, 27, 28, 26, 30, 30, 22, 18, 28, None, 27, 29, 21, 27, 35, 38, 27, 35, 39, 38, 38, 38, 38, 36, 38, 39, 29, 36, 39, 37, None, 37, 38, 37, 35, 36, 37, 38, None, 39, None, 38, 31, 37, 25, 37, 37]
5: [None, 33, 39, 38, None, 39, 39, 29, 31, 39, 13, 38, 39, None, 39, 39, 34, 38, 38, 29, 31, 39, 39, None, None, 38, 29, 39, None, None, 39, 39, 39, None, None, 38, 34, 39, 38, 39, 28, 39, 39, 29, 38, 39, 29, 39, 31, 29, 29, 29, 33, 33, 31, 30, 33, 31, 31, 33, 35, 35, 33, 35, None, 35, 35, 35, 35, 34, 35, 33, 37, 37, 35, 37, None, 39, 39, 37, 37, 37, 36, 39, None, 39, None, 39, 37, 37, 39, 37, 39]
6: [None, 27, 37, 27, 39, None, 38, 34, 33, 36, 38, None, 35, None, 37, 35, 27, 27, 24, 36, 35, 35, 32, None, None, 31, 35, 32, 35, None, 37, 32, 32, 31, None, 32, 27, 37, 36, 37, 31, 39, 35, 31, 31, 35, 36, 10, 32, 27, 35, 35, 30, 31, 33, None, 31, 29, 33, 31, 27, 31, 32, 28, 31, 30, 21, 30, 21, 29, 30, 29, 26, 27, 31, 27, None, 37, 38, 26, 26, 26, 28, 39, None, 39, None, 38, 10, 37, 36, 37, 37]
7: [None, 32, 38, 34, 39, 38, None, 36, 34, 37, 38, None, 37, None, 37, 37, 30, 34, 34, 37, 35, 36, 34, None, None, 36, 36, 34, None, None, 37, 34, 34, None, None, 34, 28, 37, 38, 37, 36, 39, 38, 36, 38, 36, 37, 38, 34, 35, 36, 36, 32, 32, 35, None, 28, 34, 34, 32, 30, 31, 33, 30, None, 20, 30, 30, 30, 30, 30, 29, 28, 28, 31, 28, None, 38, 38, 28, 28, 28, 29, 39, None, 39, None, 39, 38, 38, 38, 38, 38]
8: [None, 33, 33, 28, 29, 34, 36, None, 34, 34, 38, 34, 33, None, 32, 33, 29, 28, 29, 38, 36, 31, 15, None, None, 28, 35, 31, 33, None, 33, 13, 31, None, None, 30, 28, 33, 33, 32, 32, 35, 28, 37, 32, 31, 39, 34, 35, 32, 34, 35, 33, 32, 35, 37, 34, 35, 34, 31, 29, 31, 32, 29, None, 32, 32, 23, 32, 32, 31, 31, 27, 26, 33, 30, None, 25, 27, 28, 13, 29, 29, 26, None, 29, None, 29, 36, 37, 19, 36, 27]
9: [None, 36, 33, 21, 31, 33, 34, 34, None, 32, 28, 33, 32, None, 32, 32, 33, 21, 29, 36, 38, 31, 19, None, None, 30, 35, 29, 31, None, 32, 28, 29, None, None, 30, 33, 33, 33, 32, 34, 34, 32, 36, 25, 30, 37, 33, 37, 37, 34, 35, 35, 19, 38, None, 36, 38, 10, 34, 18, 34, 36, 33, None, 34, 34, 34, 34, 34, 31, 33, 26, 30, 35, 32, None, 28, 27, 31, 21, 31, 32, 30, None, 31, None, 31, 27, 27, 24, 26, 29]
10: [None, 31, 36, 36, 39, 36, 37, 34, 32, None, 39, 39, 38, None, 38, 38, 28, 36, 36, 6, 32, 38, 36, None, None, 37, 34, 36, 35, None, 38, 36, 36, 28, None, 35, 28, 39, 35, 38, 33, 36, 36, 35, 36, 38, 34, 36, 32, 31, 34, 34, 30, 30, 32, None, 30, 33, 32, 30, 28, 28, 29, 26, 23, 29, 29, 29, 29, 28, 28, 39, 38, 38, 29, 38, None, 38, 38, 39, 38, 38, 39, 38, None, 39, None, 38, 38, 39, 39, 38, 39]
